Kanal,Started,Session ID,Transcript Link,Kundenanliegen,Antwort Bot / Flow,Stimmt die ausgespielte Antwort?,T2A gerechtfertigt?
Bot,Customer,Multi-Choice,Editable,Correct FAQ,bla,blubb,blablubb
"whatsapp

asdfhi
aisufdhg

end

asdfiug
,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202241133/AYAXQ45O6L_Hey-can-I-tell-you-my-super-secret-phone-number-It-is-078-554-22-64,,,""ja"
",Ja
whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202071102/WYB96DYB7B_Hi-there,,,What is the answer to life the universe and everything?"
What if there was an answer?
"What do you mean?"",""In felis ipsum, sagittis nec porta convallis, tristique ut arcu. Maecenas vitae sodales ligula, auctor gravida ligula. Donec eu accumsan quam. Nullam dictum orci eros,"""
"whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202071608/WXBLHBYZ88_Hello-there,,,nein,""Aenean tincidunt leo arcu, non facilisis felis tempus non. Proin ante augue, porttitor nec molestie ut, gravida sit amet nulla. Pellentesque felis purus, """
"whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202071112/WYBQYLD7AN_Good-day,,,""Nein, das ausgespielte FAQ ist nicht korrekt."",Nein"
"whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202051853/AYAIFK7NLP_What-is-your-favourite-word,,,""Suspendisse et auctor lacus, eget pulvinar urna. Donec ut finibus turpis. Etiam eu bibendum arcu. Maecenas laoreet ante ac enim ornare, sollicitudin egestas nisi fermen"",Nein"
"whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202051850/AYAVE3P6ZG_Do-you-have-any-book-recommendations,""Do you have any book recommendations?"
How about a movie then?
Any movie.
"Hulk."",""I don't know."
Sure. What movie.
Superman or hulk?
"Ironman."",""Suspendisse et auctor lacus, eget pulvinar urna. Donec ut finibus turpis. Etiam eu bibendum arcu. Maecenas laoreet ante ac enim ornare, sollicitudin egestas nisi fermen"",Ja"
"whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202051847/WXBWLVE7Z4_What-is-the-answer-to-life-the-universe-and-everything,""What is the answer to life the universe and everything?"
What if there was an answer?
"What do you mean?"",""There is no answer."
"The other side of the question."",""Vivamus ultricies lacinia lectus, nec consequat magna "",""Vivamus ultricies lacinia lectus, nec consequat magna scelerisque et. Duis nec elementum elit. Nunc sem tellus, faucibus et efficitur at, posuere at est. Cras dignis"""
whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202041647/WYDS891QFL_Hello-who-are-you,,,,
whatsapp,2022-01-01T16:30:30+01:00,11111-D11111111110000,https://www.cleverbot.com/conv/202202041647/WYDS891QFL_Hello-who-are-you,,,,
